ชื่อยา,ข้อบ่งใช้,ระดับความเสี่ยง,หมายเหตุ,แหล่งอ้างอิงข้อมูล
MELIANE (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MELIANE ED (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MELODIA (Ethinylestradiol + Drospirenone),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/610                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MERCILON 21 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MERCILON 28 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MICROGYNON 30 ED (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                        2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MILLY 21 (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                        2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MILLY 28 (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                        2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MINIDOS (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MINNY  (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MINNY  28 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MINOS (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
NOVYNETTE (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                            2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
OILEZZ (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                            2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
ONJEL 20 (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
POSTINOR (Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำมาก,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/927                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
RIGEVIDON  (Ethinylestradiol + Norgetrel),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
SASHA (Cyproterone acetate + Ethinylestradiol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
SUCEE  (Cyproterone acetate + Ethinylestradiol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
TRIQUILAR ED (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
YASMIN (Ethinylestradiol + Drospirenone),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/610                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
YAZ (Ethinylestradiol + Drospirenone),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/610                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
ZARINE (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
ZOELY (Estradiol + Nomegestrol),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1764                                                          2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
